# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.00000383955693905591, -0.0000049162777031597216, 0.00016433694690931588, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000003285024149590754, -0.000005144916940480471, 0.0001678638654993847, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000030580124530388275, -0.0000052370801313372795, 0.0001692556543275714, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -9.89118120742205e-7, -0.000019652687115012668, 0.052023861557245255, 'false,true,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left', '-1'
596, 0, '-1', -0.00034576430334709585, 0.000013332366506801918, 0.5793465375900269, 'false,true,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
595, 0, '-1', -0.0006034803809598088, 0.00011406644625822082, 1.1356076002120972, 'false,true,false,false,false,false,false,false,false', 98, 50, 50, 49.888888888888886, 'false,false,false,false,true,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
594, 0, '-1', -0.04136033356189728, -0.7635782957077026, 1.5189727544784546, 'false,true,false,false,false,false,false,false,false', 97, 50, 50, 49.333333333333314, 'false,false,false,false,true,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,back,back,back,back,back,back,back', '-1'
593, 0, '-1', -0.18865667283535004, -3.579907178878784, 1.5169265270233154, 'false,true,false,false,false,false,false,false,false', 97, 50, 50, 48.77777777777774, 'false,false,false,false,true,false,false,false,false', 'back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back', '-1'
592, 0, '-1', -0.34637778997421265, -6.444181442260742, 1.516249179840088, 'false,true,false,false,false,false,false,false,false', 96, 50, 50, 48.22222222222217, 'false,false,false,false,true,false,false,false,false', 'back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back', '-1'
591, 0, '-1', -0.47795119881629944, -8.826913833618164, 1.5172823667526245, 'false,true,true,false,false,false,false,false,false', 96, 50, 50, 47.6666666666666, 'false,false,false,false,true,false,false,false,false', 'back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back,back', '-1'
590, 0, '-1', -0.5667980313301086, -10.638561248779297, 1.5230909585952759, 'false,true,true,false,false,false,false,false,false', 95, 50, 50, 47.22222222222214, 'false,false,false,false,true,false,false,false,false', '-1', '-1'
589, 0, '-1', -0.5667999982833862, -10.638565063476562, 1.5230931043624878, 'false,true,true,false,false,false,false,false,false', 95, 50, 70, 26.666666666666575, 'false,false,false,false,true,false,false,false,false', 'right', '-1'
588, 0, '-1', -0.49816954135894775, -10.408655166625977, 1.278426170349121, 'false,true,true,false,false,true,false,false,false', 94, 50, 90, 6.111111111111022, 'false,false,false,false,true,false,false,false,false', 'right,right,front', '-1'
587, 0, '7', -0.1531485617160797, -9.26498031616211, 1.4674310684204102, 'false,true,true,false,false,true,false,false,false', 94, 50, 90, 5.444444444444358, 'false,false,false,false,true,false,false,false,false', 'left,left,left,front,front', '-1'
586, 0, '-1', 0.0839453712105751, -6.4565510749816895, 1.487166404724121, 'false,true,true,false,false,true,false,false,false', 93, 50, 90, 4.888888888888804, 'false,false,false,false,true,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
585, 0, '-1', 0.323402464389801, -3.5981597900390625, 1.4867652654647827, 'false,true,true,false,false,true,true,false,false', 93, 50, 90, 4.444444444444361, 'false,false,false,false,true,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,left,front', '-1'
584, 0, '-1', 0.4214019179344177, -1.1633819341659546, 1.5533387660980225, 'false,true,true,false,false,true,true,false,false', 92, 50, 90, 3.8888888888888067, 'false,false,false,false,true,false,false,false,false', 'front,front,left', '-1'
583, 0, '-1', 0.23945432901382446, 0.6353579163551331, 1.7396830320358276, 'false,true,true,false,false,true,true,false,false', 92, 50, 90, 3.333333333333251, 'false,false,false,false,true,false,false,false,false', 'front,front,front', '-1'
582, 0, '-1', -0.24621471762657166, 3.4622700214385986, 1.742282748222351, 'false,true,true,false,false,true,true,false,false', 91, 50, 90, 2.777777777777695, 'false,false,false,false,true,false,false,false,false', 'front,front,front,front', '-1'
581, 0, '-1', -0.7239713072776794, 6.2418951988220215, 1.741971731185913, 'false,true,true,false,false,true,true,false,false', 91, 50, 90, 2.2222222222221393, 'false,false,false,false,true,false,false,false,false', 'front,front,front,right', 'removeAlarm'
580, 1, '-1', -0.929912805557251, 7.420104503631592, 1.4404913187026978, 'false,true,true,false,false,true,true,false,false', 90, 50, 90, 1.6666666666665835, 'false,false,false,false,true,false,false,true,false', 'right,right,right,right,right,front,front', '-1'
579, 1, '-1', -0.929912805557251, 7.420104503631592, 1.4404913187026978, 'false,true,true,false,false,true,true,false,false', 90, 50, 90, 0.9999999999999166, 'false,false,false,false,true,false,false,true,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
578, 1, '-1', -0.7068650722503662, 9.59836196899414, 1.5469361543655396, 'false,true,true,false,false,true,true,false,false', 89, 50, 90, 0.9999999999999166, 'false,false,false,false,true,false,false,true,false', '-1', '-1'
577, 1, '-1', -0.7144621014595032, 9.313243865966797, 1.5474141836166382, 'false,true,true,false,false,true,true,false,false', 89, 50, 90, 0.9999999999999166, 'false,false,false,false,true,false,false,true,false', '-1', '-1'
576, 1, '-1', -0.1248374655842781, 10.789052963256836, 1.0210068225860596, 'false,true,true,false,false,true,true,false,false', 88, 50, 90, 0.9999999999999166, 'false,false,false,false,true,false,false,true,false', '-1', '-1'
575, 1, '-1', 0.058554086834192276, 11.06850528717041, 1.4063419103622437, 'false,true,true,false,false,true,true,false,false', 88, 50, 90, 0.9999999999999166, 'false,false,false,false,true,true,false,true,false', '-1', '-1'
574, 1, '-1', 0.018112335354089737, 11.302823066711426, 1.7548508644104004, 'false,true,true,false,false,true,true,false,false', 87, 50, 90, 0.9999999999999166, 'false,false,false,false,true,true,false,true,false', '-1', '-1'
573, 1, '-1', -0.15550631284713745, 12.205098152160645, 1.7613074779510498, 'false,false,true,false,true,true,true,false,false', 87, 50, 80, 0.9999999999999166, 'false,false,false,false,true,true,false,true,false', '-1', '-1'
572, 1, '-1', -0.2883458137512207, 12.864461898803711, 1.7753099203109741, 'false,false,true,false,true,true,true,false,false', 86, 50, 80, 0.9999999999999166, 'false,false,false,false,true,true,false,true,false', '-1', '-1'
571, 1, '-1', 0.056508660316467285, 11.210824966430664, 1.77614164352417, 'false,false,true,false,true,true,true,false,false', 86, 57.80919451571626, 80, 0.9999999999999166, 'false,false,false,false,true,true,false,true,false', '-1', '-1'
