# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.0000029314194307517027, -0.000005292048172123032, 0.00017010206647682935, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.0000027643013709166553, -0.0000053426520025823265, 0.00017088391177821904, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000025985898446378997, -0.000005391958438849542, 0.00017165375174954534, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left', '-1'
597, 0, '-1', -0.0000796005260781385, -0.00007012137939454988, 0.5040754079818726, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
596, 0, '-1', 0.0000889441798790358, -0.000023738026357023045, 1.0827405452728271, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
595, 0, '-1', -0.000645385414827615, 0.00034793425584211946, 1.6109226942062378, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
594, 0, '-1', -0.001400651759468019, -0.000021442861907416955, 2.11897611618042, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,front,front,front,front,front', '-1'
593, 0, '-1', -1.4856672286987305, 2.3977034091949463, 2.121958017349243, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,left,front,front', '-1'
592, 0, '-1', -2.9808263778686523, 4.844777584075928, 2.119641065597534, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,right', '-1'
591, 0, '-1', -3.45381236076355, 5.621316432952881, 1.7533257007598877, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,front,front', '-1'
590, 1, '-1', -3.573040246963501, 7.673990249633789, 1.6293444633483887, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 50, 'false,false,false,false,false,false,false,false,true', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,right', '-1'
589, 1, '-1', -3.573040246963501, 7.673990249633789, 1.6293444633483887, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 49.44444444444443, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
588, 1, '-1', -3.630523443222046, 8.677587509155273, 1.0547503232955933, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 48.88888888888886, 'false,false,false,false,false,false,false,false,true', 'front', '-1'
587, 1, '-1', -3.6302621364593506, 8.679305076599121, 0.5376936197280884, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 48.333333333333286, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
586, 1, '-1', -2.632666826248169, 9.10680866241455, 0.39679640531539917, 'false,false,false,false,false,false,false,false,false', 93, 50, 50, 47.777777777777715, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
585, 1, '-1', -2.8702423572540283, 9.025379180908203, 0.3770310580730438, 'false,false,false,false,false,false,false,false,true', 93, 50, 50, 47.22222222222214, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
584, 1, '-1', -1.275868535041809, 9.064184188842773, -0.14817407727241516, 'false,false,false,false,false,false,false,false,true', 92, 50, 50, 46.66666666666657, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
583, 1, '-1', -0.8074268102645874, 8.971941947937012, 0.194248765707016, 'false,false,false,false,false,false,false,false,true', 92, 50, 50, 46.111111111111, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
582, 1, '-1', 0.022113393992185593, 9.291378021240234, 0.38998502492904663, 'false,false,false,false,false,false,false,true,true', 91, 50, 50, 45.55555555555543, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
581, 1, '-1', 1.5652371644973755, 9.926714897155762, 0.3897975981235504, 'false,false,false,false,false,false,false,true,true', 91, 50, 50, 44.99999999999986, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
580, 0, '-1', 3.1086513996124268, 10.560711860656738, 0.3891241252422333, 'false,false,false,false,false,false,false,true,true', 90, 50, 50, 44.44444444444429, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
579, 0, '-1', 4.651709079742432, 11.195661544799805, 0.3911619484424591, 'false,false,false,false,false,false,false,true,true', 90, 50, 50, 43.888888888888715, 'false,false,false,false,false,false,false,false,true', '-1', '-1'
578, 0, '-1', 4.831593990325928, 11.27000617980957, 0.39239034056663513, 'false,false,false,false,false,false,false,true,true', 89, 50, 50, 43.333333333333144, 'false,false,false,false,false,false,false,false,true', 'back', '-1'
577, 0, '-1', 3.683105230331421, 10.7947359085083, 0.39099159836769104, 'false,false,false,false,false,false,false,true,true', 89, 50, 50, 42.77777777777757, 'false,false,false,false,false,false,false,false,true', 'back,back,back,back,back,back,back,back,back,back,back,back,back,right', '-1'
576, 0, '-1', 2.535003662109375, 10.319621086120605, 0.06969493627548218, 'false,false,false,false,false,false,false,true,true', 88, 50, 50, 42.222222222222, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
575, 0, '-1', 2.5354390144348145, 10.318156242370605, -0.4562146067619324, 'false,false,false,false,false,false,false,true,true', 88, 50, 50, 41.66666666666643, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
574, 0, '-1', 2.5349488258361816, 10.316635131835938, -0.9744563102722168, 'false,false,false,false,false,false,false,true,true', 87, 50, 50, 41.11111111111086, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
573, 0, '-1', 2.5370891094207764, 10.315269470214844, -1.4320029020309448, 'false,false,false,false,false,false,false,true,true', 87, 50, 50, 40.55555555555529, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
572, 0, '-1', 2.5387065410614014, 10.314275741577148, -1.9556834697723389, 'false,false,false,false,false,false,false,true,true', 86, 50, 50, 39.999999999999716, 'false,false,false,false,false,false,false,false,true', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,front', '-1'
