# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.0000036212375107425032, -0.0000050051598918798845, 0.0001657105312915519, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000003083848469032091, -0.000005205773504712852, 0.00016876839799806476, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -4.7647787937421526e-7, -0.000005275717285257997, -0.024737641215324402, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'right,right,right', '-1'
597, 0, '-1', -0.00030339384102262557, -0.0012240470387041569, -0.540172815322876, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
596, 0, '-1', -0.0002269409887958318, -0.001398372813127935, -0.9848504662513733, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
595, 0, '-1', -0.00031201165984384716, -0.0010156729258596897, -1.4985641241073608, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,true,false,false,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,front,front,front,front', '-1'
594, 0, '-1', -0.07688537240028381, -2.1987226009368896, -1.6070091724395752, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 49.44444444444443, 'false,false,true,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
593, 0, '-1', -0.18114438652992249, -5.113437652587891, -1.608582615852356, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 48.88888888888886, 'false,false,true,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
592, 0, '-1', -0.2756909430027008, -7.741260528564453, -1.5644123554229736, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 48.333333333333286, 'false,false,true,false,false,false,false,false,false', 'front,left,front', '-1'
591, 0, '-1', -0.017876937985420227, -9.964262962341309, -1.4560589790344238, 'false,false,false,true,false,false,false,false,false', 96, 50, 50, 47.777777777777715, 'false,false,true,false,false,false,false,false,false', 'front,front', '-1'
590, 1, '-1', 0.08439262956380844, -10.866973876953125, -1.4575417041778564, 'false,false,false,true,false,false,false,false,false', 95, 50, 70, 27.22222222222215, 'false,false,true,false,true,false,false,false,false', '-1', '-1'
589, 1, '7', 0.08439262956380844, -10.866973876953125, -1.4575417041778564, 'false,false,false,true,false,false,false,false,false', 95, 50, 90, 6.111111111111041, 'false,false,true,false,true,false,false,false,false', '-1', '-1'
588, 1, '-1', 0.078912153840065, -10.865134239196777, -1.8703340291976929, 'false,false,false,true,false,false,false,false,false', 94, 50, 90, 4.99999999999993, 'false,false,true,false,true,false,false,false,false', '-1', '-1'
587, 1, '-1', 0.0760461613535881, -10.865134239196777, -2.3652913570404053, 'false,false,false,true,false,false,false,false,false', 94, 50, 90, 3.8888888888888182, 'false,false,true,false,true,false,false,false,false', '-1', 'removeAlarm'
586, 1, '-1', 0.075506292283535, -10.867159843444824, -2.8470537662506104, 'false,false,false,true,false,false,false,false,false', 93, 50, 90, 2.7777777777777066, 'false,false,true,false,true,false,false,false,false', '-1', '-1'
585, 1, '-1', 0.07229328900575638, -10.867798805236816, 2.9422085285186768, 'false,false,false,true,false,true,false,false,false', 93, 50, 90, 1.666666666666595, 'false,false,true,false,true,false,false,false,true', '-1', '-1'
584, 1, '-1', 0.0702974796295166, -10.86815071105957, 2.4640560150146484, 'false,false,false,true,false,true,false,false,false', 92, 50, 90, 0.9999999999999285, 'false,false,true,false,true,false,false,false,true', '-1', '-1'
583, 1, '-1', 0.06785967200994492, -10.86847972869873, 2.001368284225464, 'false,false,false,true,false,true,false,false,false', 92, 50, 90, 0.9999999999999285, 'false,false,true,false,true,false,false,false,true', '-1', '-1'
582, 1, '-1', -0.09367374330759048, -10.106772422790527, 1.7514033317565918, 'false,false,false,true,false,true,false,false,false', 91, 50, 90, 0.9999999999999285, 'false,false,true,false,true,false,false,false,true', '-1', '-1'
581, 1, '-1', -0.3917393386363983, -8.436285018920898, 1.7447471618652344, 'false,false,false,true,false,true,false,false,false', 91, 50, 90, 0.9999999999999285, 'false,false,true,false,true,false,false,false,true', '-1', '-1'
