# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', 2.597016930394602e-7, -0.000005306932052917546, 0.0001621569972485304, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.0000039753763303451706, -0.000004897195140074473, 0.00016403806512244046, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000033580217859707773, -0.000005129198143549729, 0.00016762508312240243, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -0.000003020598342118319, -0.000005233300726104062, 0.00016919185873121023, 'false,false,false,false,false,false,false,false,true', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'minus,plus'
596, 0, '-1', -0.0000029155899028410204, -0.000005282437996356748, 0.00016996085469145328, 'false,false,false,false,false,false,false,false,true', 98, 50, 50, 53, 'false,false,false,false,false,false,false,false,false', '-1', 'push'
595, 0, '-1', -0.0000027530238639883464, -0.000005332147338776849, 0.0001707300398265943, 'false,false,false,false,false,false,false,false,true', 98, 50, 50, 57.57142857142856, 'false,false,false,false,false,false,false,false,false', '-1', 'minus,plus'
594, 0, '-1', -0.0000026430725483805872, -0.000005382587460189825, 0.00017149958875961602, 'false,false,false,false,false,false,false,false,true', 97, 50, 50, 61.428571428571416, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left', '-1'
593, 0, '-1', -0.000001760683744578273, -0.000028439837478799745, 0.35492947697639465, 'false,false,false,false,false,false,false,false,true', 97, 50, 50, 64.57142857142856, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
592, 0, '-1', -0.000008964772860053927, -0.000033957287087105215, 0.9530787467956543, 'false,false,false,false,false,false,false,false,true', 96, 50, 50, 66.99999999999999, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left', 'plus,minus'
591, 0, '-1', -0.0012143594212830067, 0.00046361651038751006, 1.4891713857650757, 'false,false,false,false,false,false,false,false,true', 96, 50, 50, 68.71428571428572, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left', '-1'
