# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -9.147557307187526e-7, -0.000005999593213346088, 0.0001810360699892044, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -8.319323114847066e-7, -0.000006050116098776925, 0.00018181568884756416, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -6.891011139487091e-7, -0.00000610065308137564, 0.00018259506032336503, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -5.473759756569052e-7, -0.000006151157322165091, 0.00018337533401791006, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'minus'
596, 0, '-1', -4.060888443291333e-7, -0.000006202248641784536, 0.0001841576158767566, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'minus,minus'
595, 0, '-1', -0.0000024330211090273224, -0.000006098882295191288, 0.00018625336815603077, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'plus,plus,plus'
594, 0, '-1', -0.000008039000022108667, -0.000005813177267555147, 0.0001906359102576971, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'plus,plus'
593, 0, '-1', -0.00001255195547855692, -0.000005636046353174606, 0.0001922760420711711, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', 'plus,minus,minus,minus'
592, 0, '-1', -0.00001654181869525928, -0.000005632495685858885, 0.00019233027705922723, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
591, 0, '-1', -0.00002028682683885563, -0.00000562912782697822, 0.0001923816162161529, 'false,false,true,false,false,false,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
590, 0, '-1', -0.000025089322662097402, -0.000005715454790333752, 0.00018075383559335023, 'false,false,true,false,false,false,false,false,false', 95, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
589, 0, '-1', -0.00002488624340912793, -0.0000048915612751443405, 0.00016806770872790366, 'false,false,true,false,false,false,false,false,false', 95, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
