# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.000001864020987341064, -0.000005662438070430653, 0.00017582088185008615, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.0000016976335928120534, -0.0000057122751968563534, 0.00017659160948824137, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000016320472013831022, -0.00000576204365643207, 0.00017736857989802957, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -0.0000014543167026204173, -0.000005813334155391203, 0.00017814920283854008, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 51, 'false,false,false,false,false,false,false,false,false', '-1', 'minus,push'
596, 0, '-1', -0.0000013268526117826696, -0.000005863136721018236, 0.00017892915639095008, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 55.857142857142854, 'false,false,false,false,false,false,false,false,false', '-1', 'plus'
595, 0, '-1', -0.0000011991102155661792, -0.000005914321718591964, 0.00017970867338590324, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 60.28571428571427, 'false,false,false,false,false,false,true,false,false', '-1', 'push'
594, 0, '-1', -0.0000010118739055542392, -0.0000059644739849318285, 0.000180489121703431, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 64.86507936507934, 'false,false,false,false,false,false,true,false,false', '-1', 'plus,minus'
593, 0, '-1', -9.331938599643763e-7, -0.000006014990958647104, 0.00018126917711924762, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 69.15873015873012, 'false,false,false,false,false,false,true,false,false', '-1', 'push'
592, 0, '-1', -7.959683330227563e-7, -0.0000060658926486212295, 0.0001820499455789104, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 72.7380952380952, 'false,false,false,false,false,false,true,false,false', '-1', 'wrench'
591, 0, '-1', -6.504673706331232e-7, -0.000006115804353612475, 0.00018282851669937372, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 75.71428571428565, 'false,false,false,false,false,false,false,false,false', '-1', 'clickLeak6,plus'
590, 0, '-1', -4.5407162474475626e-7, -0.000006166516868688632, 0.000183609125087969, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 78.85714285714279, 'true,false,false,false,false,false,false,false,false', '-1', 'minus,push'
589, 0, '-1', -3.6928065583197167e-7, -0.00000621704566583503, 0.00018439226550981402, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 81.72222222222216, 'true,false,false,false,false,false,false,false,false', '-1', 'plus,minus,push'
588, 0, '-1', -0.000003908355211024173, -0.000006015515737090027, 0.00018755397468339652, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 86.15873015873008, 'true,false,false,false,false,false,false,false,false', '-1', 'push,push'
587, 0, '-1', -0.00001000052179733757, -0.000005759156465501292, 0.00019183283438906074, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 89.04761904761897, 'false,false,false,false,false,false,false,false,false', '-1', 'wrench,clickLeak0'
586, 0, '-1', -0.000013920319361204747, -0.000005634929038933478, 0.00019229421741329134, 'false,false,false,false,false,false,false,false,false', 93, 50, 50, 91.33333333333324, 'false,false,false,false,false,false,false,false,false', '-1', 'wrench,wrench,wrench,wrench'
585, 0, '-1', -0.000017665321138338186, -0.00000563144658372039, 0.0001923457020893693, 'false,false,false,false,false,false,false,false,false', 93, 50, 50, 93.61904761904754, 'true,false,false,false,false,false,false,false,false', '-1', '-1'
584, 0, '-1', -0.000021410329281934537, -0.000005628021426673513, 0.00019239704124629498, 'false,false,false,false,false,false,false,false,false', 92, 50, 50, 95.76984126984118, 'true,false,false,false,false,false,false,false,false', '-1', 'push,minus'
583, 0, '-1', -0.000025415283744223416, -0.000005469361440191278, 0.00017692656547296792, 'false,false,false,false,false,false,false,false,false', 92, 50, 50, 97.34920634920627, 'true,false,false,false,false,false,false,false,false', '-1', 'push,plus'
582, 0, '-1', -0.00002484096330590546, -0.000004636655376089038, 0.0001641279668547213, 'false,false,false,false,false,true,false,false,false', 91, 50, 50, 99.07142857142847, 'true,false,false,false,false,false,false,false,false', '-1', 'wrench'
581, 0, '-1', -0.000024004792066989467, -0.00000383894621336367, 0.00015185920346993953, 'false,false,false,false,false,true,false,false,false', 91, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', 'clickLeak0,minus'
580, 0, '-1', -0.00002746149584709201, -0.0000030427916044573067, 0.00013971382577437907, 'false,false,false,false,false,true,false,false,false', 90, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', 'plus,wrench,wrench'
579, 0, '-1', -0.00002723763282119762, -0.00000248784317591344, 0.00013036077143624425, 'false,false,false,false,false,true,false,false,true', 90, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', 'push'
578, 0, '-1', -0.000026137537133763544, -0.000002169642129956628, 0.0001254635426448658, 'false,false,false,false,false,true,false,false,true', 89, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
577, 0, '-1', -0.000025448263841099106, -0.0000018443299723003292, 0.00012046648771502078, 'false,false,false,false,false,true,false,false,true', 89, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
576, 0, '-1', -0.000024069955543382093, -0.0000013854219105269294, 0.0001141427710535936, 'true,false,false,false,false,true,false,false,true', 88, 50, 50, 100, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
575, 0, '-1', -0.000024817474695737474, -5.664148261530499e-7, 0.0001023576405714266, 'true,false,false,false,false,true,false,false,true', 88, 50, 50, 100, 'false,false,false,false,false,false,false,true,false', '-1', '-1'
574, 0, '-1', -0.00002588600000308361, -0.0000012797867157132714, 0.00011295037984382361, 'true,false,false,false,false,true,false,false,true', 87, 50, 50, 99.44444444444443, 'false,false,false,false,false,false,false,true,false', '-1', '-1'
573, 0, '-1', -0.0000225978819798911, -0.0000020617055724869715, 0.0001249689667019993, 'true,false,false,false,false,true,false,false,true', 87, 50, 50, 98.88888888888886, 'false,false,false,false,false,false,false,true,false', '-1', '-1'
572, 0, '-1', -0.00002288204814249184, -0.0000028702443160000257, 0.00013740971917286515, 'true,false,false,false,false,true,false,false,true', 86, 50, 50, 98.33333333333329, 'false,false,false,false,false,false,false,true,false', '-1', '-1'
571, 0, '-1', -0.000022726444512954913, -0.0000036792764603887917, 0.00014986989845056087, 'true,false,false,false,false,true,false,false,true', 86, 50, 50, 97.77777777777771, 'false,false,false,false,false,false,false,true,false', '-1', '-1'
570, 1, '-1', -0.000023495462301070802, -0.000004525488293438684, 0.00016287640028167516, 'true,false,false,false,false,true,false,false,true', 85, 50, 50, 97.22222222222214, 'false,false,true,false,false,false,false,true,false', '-1', '-1'
569, 1, '-1', -0.000023495462301070802, -0.000004525488293438684, 0.00016287640028167516, 'true,false,false,false,false,true,false,false,true', 85, 50, 50, 96.111111111111, 'false,false,true,false,false,false,false,true,false', '-1', '-1'
568, 1, '-1', -0.00017237471183761954, 0.0011589525965973735, 0.4542216658592224, 'true,false,false,false,false,true,false,false,true', 84, 50, 50, 94.99999999999986, 'false,false,true,false,false,false,false,true,false', '-1', '-1'
567, 1, '-1', -0.0006779617979191244, 0.0004836706502828747, 0.9878877997398376, 'true,false,false,false,false,true,false,false,true', 84, 50, 50, 93.88888888888872, 'false,false,true,false,false,false,false,true,false', '-1', '-1'
566, 1, '-1', 0.22505709528923035, 0.6283646821975708, 1.248267412185669, 'true,false,false,false,false,true,false,false,true', 83, 50, 50, 92.77777777777757, 'false,false,true,false,false,false,false,true,false', '-1', '-1'
565, 1, '-1', 0.7449682354927063, 2.184713840484619, 1.2469489574432373, 'true,false,false,false,false,true,false,false,true', 83, 50, 50, 91.66666666666643, 'false,false,true,false,false,true,false,true,false', '-1', '-1'
