# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.000002418162694084458, -0.000005466270067699952, 0.00017279243911616504, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.0000021830635432706913, -0.000005569266704696929, 0.0001743815519148484, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', 0.5256749391555786, 0.00018856475071515888, 0.00047616910887882113, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front', '-1'
597, 0, '-1', 2.1512725353240967, 0.0024135380517691374, 0.23103205859661102, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,left,front', '-1'
596, 0, '-1', 4.892148494720459, 0.668087363243103, 0.23574189841747284, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front,front,front', '-1'
595, 0, '-1', 6.778104782104492, 1.3411378860473633, 0.39173758029937744, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,true,false,false,false,false', 'left,front,front', '-1'
594, 0, '-1', 8.826457977294922, 2.3699660301208496, 0.4914930462837219, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 49.44444444444443, 'false,false,false,false,true,false,false,false,false', 'front,left,front,front,front', '-1'
593, 0, '-1', 8.826457977294922, 2.3699660301208496, 0.4914930462837219, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 48.88888888888886, 'false,false,false,false,true,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
592, 0, '-1', 9.12308406829834, 2.5277349948883057, 0.9493201971054077, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 48.333333333333286, 'false,false,false,false,true,false,false,false,false', 'front,front,front', '-1'
591, 0, '-1', 10.21367359161377, 4.491880416870117, 1.0633262395858765, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 47.777777777777715, 'false,false,false,false,true,false,false,false,false', 'front,front,front,front', '-1'
590, 0, '-1', 11.605656623840332, 6.999886989593506, 1.065366506576538, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 47.22222222222214, 'false,false,false,false,true,false,false,false,false', 'front,front,front', '-1'
589, 0, '-1', 12.996211051940918, 9.508625030517578, 1.0633119344711304, 'false,false,false,false,false,false,false,false,false', 95, 50, 50, 46.66666666666657, 'false,false,false,false,true,false,false,false,false', 'front,right,right', '-1'
588, 0, '-1', 13.995641708374023, 11.304951667785645, 0.9500010013580322, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 46.111111111111, 'false,false,false,false,true,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
587, 0, '-1', 13.994924545288086, 11.302391052246094, 0.4143885672092438, 'false,false,false,false,false,false,false,false,false', 94, 50, 50, 45.55555555555543, 'false,false,false,false,true,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
586, 0, '-1', 13.996969223022461, 11.3037691116333, -0.11268457770347595, 'false,false,false,false,false,false,false,false,false', 93, 50, 50, 44.99999999999986, 'false,false,false,false,true,false,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
585, 0, '-1', 13.998143196105957, 11.301892280578613, -0.6484803557395935, 'false,false,false,false,false,false,false,false,false', 93, 50, 50, 44.44444444444429, 'false,false,false,false,true,false,false,true,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
584, 0, '-1', 14.001173973083496, 11.301331520080566, -1.1741046905517578, 'false,false,false,false,false,false,false,false,false', 92, 50, 50, 43.33333333333318, 'false,false,false,false,true,false,false,true,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
583, 0, '-1', 14.003898620605469, 11.297676086425781, -1.6880743503570557, 'false,false,false,false,false,false,false,false,false', 92, 50, 50, 42.22222222222207, 'false,false,false,false,true,false,false,true,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
582, 0, '-1', 14.002457618713379, 11.298384666442871, -2.1542539596557617, 'false,false,true,false,false,false,false,false,false', 91, 50, 50, 41.111111111110965, 'false,false,false,false,true,false,false,true,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
581, 0, '-1', 10.777389526367188, 7.023483753204346, -2.2168586254119873, 'false,false,true,false,false,false,false,false,false', 91, 50, 50, 39.99999999999986, 'false,false,false,false,true,false,false,true,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front', '-1'
580, 1, '-1', 9.04936408996582, 4.734553337097168, -2.2165467739105225, 'false,false,true,false,false,false,false,false,false', 90, 50, 50, 38.88888888888875, 'false,false,false,false,true,false,false,true,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,left', '-1'
579, 1, '-1', 9.04936408996582, 4.734553337097168, -2.2165467739105225, 'false,false,true,false,false,false,false,false,false', 90, 50, 50, 37.777777777777644, 'false,false,false,false,true,false,false,true,false', 'front,front', '-1'
