# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.000003316649554108153, -0.0000051172569328628015, 0.00016744568711146712, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000003038441718672402, -0.0000052282803153502755, 0.00016912778664845973, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.000002926275328718475, -0.000005279813194647431, 0.00016992240853141993, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front', '-1'
597, 0, '-1', -0.0000028196209314046428, -0.000005329600298864534, 0.00017069160821847618, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'front,left,left', '-1'
596, 0, '-1', 1.8646392822265625, -0.0017297392478212714, 0.16926443576812744, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left', '-1'
595, 0, '-1', 1.8643898963928223, -0.0011454856721684337, 0.7209606766700745, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left', '-1'
594, 0, '-1', 1.8647593259811401, -0.0004715564427897334, 1.2785969972610474, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 49.44444444444443, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left', '-1'
593, 0, '-1', 1.8636449575424194, 0.00032387638930231333, 1.8669933080673218, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 48.88888888888886, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left', '-1'
592, 0, '-1', 1.8639335632324219, 0.0007611697656102479, 2.3873870372772217, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 48.333333333333286, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left', '-1'
591, 0, '-1', 1.8629021644592285, 0.001330071478150785, 2.9189653396606445, 'false,false,false,false,false,false,false,false,true', 96, 50, 50, 47.777777777777715, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left', '-1'
