# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.0000040068944144877605, -0.000004873634225077694, 0.00016367813805118203, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000003386924618098419, -0.0000051061460908385925, 0.00016726630565244704, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000030974420042184647, -0.000005227828751230845, 0.00016911503917071968, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -0.0000029372495191637427, -0.0000052778377721551806, 0.00016988390416372567, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
596, 0, '-1', -0.000002775292614387581, -0.000005327065082383342, 0.00017065306019503623, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
595, 0, '-1', -0.0000026650327527022455, -0.000005377571142162196, 0.00017142282740678638, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
594, 0, '-1', -0.000002538393118811655, -0.000005427451924333582, 0.00017219693108927459, 'false,false,false,false,false,false,false,true,false', 97, 50, 50, 49.44444444444443, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
593, 0, '-1', -0.0000023407751541526522, -0.000005478807906911243, 0.00017299117462243885, 'false,false,false,false,false,false,false,true,false', 97, 50, 50, 48.88888888888886, 'false,false,true,false,false,false,false,false,false', 'left', '-1'
592, 0, '-1', 0.00017315348668489605, 0.00018482486484572291, 0.28236207365989685, 'false,false,false,false,false,false,false,true,false', 96, 50, 50, 48.333333333333286, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
591, 0, '-1', -0.00009530963143333793, 0.0004800159949809313, 0.8223997950553894, 'false,false,false,false,false,false,false,true,false', 96, 50, 50, 47.777777777777715, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,front,front', '-1'
590, 0, '-1', 1.2101657390594482, 1.7210670709609985, 0.9582573175430298, 'false,false,false,false,false,false,false,true,false', 95, 50, 50, 47.22222222222214, 'false,false,true,false,false,false,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,left,left', '-1'
589, 0, '-1', 1.4013080596923828, 1.9950393438339233, 1.4095200300216675, 'false,false,false,false,false,false,false,true,false', 95, 50, 50, 46.66666666666657, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
588, 0, '-1', 1.4011898040771484, 1.9956616163253784, 1.965460181236267, 'false,true,false,false,false,false,false,true,false', 94, 50, 50, 46.111111111111, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
587, 0, '-1', 1.4008300304412842, 1.995853066444397, 2.5244717597961426, 'false,true,false,false,false,false,false,true,false', 94, 50, 50, 45.55555555555543, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
586, 0, '-1', 1.4001851081848145, 1.996626615524292, 3.0533628463745117, 'false,true,false,false,false,false,false,true,false', 93, 50, 50, 44.99999999999986, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
585, 0, '-1', 1.399716854095459, 1.9971376657485962, -2.6827526092529297, 'false,true,false,false,false,false,false,true,false', 93, 50, 50, 44.44444444444429, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
584, 0, '-1', 1.3998322486877441, 1.9968235492706299, -2.2359578609466553, 'false,true,false,false,false,false,false,true,false', 92, 50, 50, 43.888888888888715, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
583, 0, '-1', 1.285971999168396, 1.4830734729766846, -1.787289023399353, 'false,true,false,false,false,false,false,true,false', 92, 50, 50, 43.333333333333144, 'false,false,true,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,front,front,front,front,front,front,front,front,front,front,front', '-1'
582, 0, '-1', 0.8778955340385437, -0.38584673404693604, -1.617008924484253, 'false,true,false,false,false,false,false,true,false', 91, 50, 50, 42.77777777777757, 'false,false,true,false,false,false,false,false,false', 'front,front,front,front,front,front,left,front,front', '-1'
581, 0, '-1', 0.9847241044044495, -2.771902084350586, -1.5274499654769897, 'false,true,false,false,false,false,false,true,false', 91, 50, 50, 42.222222222222, 'false,false,true,false,false,false,false,false,false', 'front,front,front,right', '-1'
580, 0, '-1', 0.9599618315696716, -4.9193925857543945, -1.6517244577407837, 'false,true,false,false,false,false,false,true,false', 90, 50, 50, 41.66666666666643, 'false,false,true,false,false,false,false,false,false', 'front,front,front,right', '-1'
579, 0, '-1', 0.7639529705047607, -6.526727676391602, -1.8616148233413696, 'false,true,false,false,false,false,false,true,false', 90, 50, 50, 41.11111111111086, 'false,false,true,false,false,false,false,false,false', 'front,left,front,front', '-1'
578, 0, '-1', 0.27464979887008667, -8.862287521362305, -1.775577425956726, 'false,true,false,false,false,false,false,true,false', 89, 50, 50, 40.55555555555529, 'false,false,true,false,false,false,false,false,false', 'front,front,front,left', '-1'
577, 0, '-1', 0.07150406390428543, -9.985441207885742, -1.4798024892807007, 'false,true,false,false,false,false,false,true,false', 89, 50, 50, 39.999999999999716, 'false,false,true,false,false,false,false,false,false', 'left,left,front,front', '-1'
576, 0, '-1', 0.32072415947914124, -12.838823318481445, -1.488763451576233, 'false,true,false,false,false,false,false,true,false', 88, 50, 60, 29.44444444444416, 'false,false,true,false,false,false,false,false,false', 'front,front', '-1'
575, 0, '-1', 0.40734222531318665, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 88, 50, 50, 28.888888888888605, 'false,false,true,false,false,false,false,false,false', 'space', '-1'
574, 0, '-1', 0.40733686089515686, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 87, 50, 50, 28.33333333333305, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
573, 0, '-1', 0.4073314964771271, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 87, 50, 50, 27.777777777777498, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
572, 0, '-1', 0.4073261320590973, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 86, 50, 50, 27.222222222221944, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
571, 0, '-1', 0.407320499420166, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 86, 50, 50, 26.66666666666639, 'false,false,true,false,false,false,false,false,false', '-1', '-1'
570, 1, '-1', 0.40731513500213623, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 85, 50, 50, 26.111111111110837, 'false,false,true,false,false,false,true,false,false', '-1', '-1'
569, 1, '-1', 0.40731513500213623, -13.88664722442627, -1.4891726970672607, 'false,true,false,false,false,false,false,false,false', 85, 50, 50, 24.99999999999973, 'false,false,true,false,false,false,true,false,false', '-1', '-1'
568, 1, '-1', 0.4086318612098694, -13.8861665725708, -1.0126205682754517, 'false,true,false,false,false,false,false,false,false', 84, 50, 50, 23.888888888888623, 'false,false,true,false,false,false,true,false,false', '-1', '-1'
567, 1, '-1', 0.4121023714542389, -13.888432502746582, -0.4730610251426697, 'false,true,false,false,false,false,false,false,false', 84, 50, 50, 22.777777777777516, 'false,false,true,false,false,false,true,false,false', '-1', '-1'
566, 1, '-1', 0.4162503778934479, -13.888466835021973, 0.07307274639606476, 'false,true,false,false,false,false,false,false,false', 83, 50, 50, 21.66666666666641, 'false,false,true,false,false,false,true,false,false', '-1', '-1'
565, 1, '-1', 0.4195440709590912, -13.886911392211914, 0.6199617981910706, 'false,true,false,false,false,false,false,false,false', 83, 50, 50, 20.5555555555553, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
564, 1, '-1', 0.4218509793281555, -13.888079643249512, 1.1705560684204102, 'false,true,false,false,false,false,false,false,false', 82, 50, 50, 18.88888888888864, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
563, 1, '-1', 0.42663833498954773, -13.582795143127441, 1.5749932527542114, 'false,true,false,false,false,false,false,false,false', 82, 50, 50, 17.22222222222198, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
562, 1, '-1', 0.4045942425727844, -11.913595199584961, 1.5820649862289429, 'false,true,false,false,false,false,false,false,false', 81, 50, 50, 15.555555555555316, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
561, 1, '7', 0.38517603278160095, -10.252559661865234, 1.5856328010559082, 'false,true,false,false,false,false,false,false,false', 81, 50, 50, 13.888888888888646, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
560, 1, '-1', 0.3564818799495697, -8.584342002868652, 1.590305209159851, 'false,true,false,false,false,false,false,false,false', 80, 50, 60, 2.222222222221978, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
559, 1, '-1', 0.32807686924934387, -6.916006565093994, 1.5873688459396362, 'false,true,false,false,false,false,false,false,false', 80, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
558, 1, '-1', 0.29844343662261963, -5.248254776000977, 1.5953924655914307, 'false,true,false,false,false,false,true,false,false', 79, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
557, 1, '-1', 0.259426474571228, -3.579538583755493, 1.593384861946106, 'false,true,false,false,false,false,true,false,false', 79, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
556, 1, '-1', 0.22184406220912933, -1.911906361579895, 1.5925451517105103, 'false,true,false,false,false,false,true,false,false', 78, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
555, 1, '-1', 0.17230090498924255, -0.244614377617836, 1.6006276607513428, 'false,true,false,false,false,false,true,false,false', 78, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
554, 1, '-1', 0.12115254253149033, 1.4228354692459106, 1.6038085222244263, 'false,true,false,false,false,false,true,false,false', 77, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
553, 1, '-1', 0.06408469378948212, 3.090331554412842, 1.6064115762710571, 'false,true,false,false,false,false,true,false,false', 77, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
552, 1, '-1', 0.0009820766281336546, 4.757987976074219, 1.6109076738357544, 'false,true,false,false,false,false,true,false,false', 76, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
551, 1, '-1', -0.07142096012830734, 6.4246296882629395, 1.6198033094406128, 'false,true,false,false,false,false,true,false,false', 76, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
550, 0, '-1', -0.15650975704193115, 8.090863227844238, 1.6259396076202393, 'false,true,false,false,false,false,true,false,false', 75, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
549, 0, '-1', -0.25270771980285645, 9.737674713134766, 1.630719542503357, 'false,true,false,false,false,false,true,false,true', 75, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
548, 0, '-1', -0.2589232921600342, 9.838399887084961, 1.635035753250122, 'false,true,false,false,false,false,true,false,true', 74, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
547, 0, '-1', -0.2589215040206909, 9.838399887084961, 1.635035753250122, 'false,true,false,false,false,false,true,false,true', 74, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
546, 0, '-1', -0.25891971588134766, 9.838399887084961, 1.6350358724594116, 'true,true,false,false,false,false,true,false,true', 73, 50, 60, 0.888888888888645, 'true,false,true,false,false,false,true,false,false', '-1', '-1'
545, 0, '-1', -0.2589179277420044, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 73, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
544, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 72, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
543, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 72, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
542, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 71, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
541, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 71, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
540, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 70, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
539, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 70, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
538, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 69, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
537, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 69, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
536, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 68, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
535, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 68, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
534, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 67, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
533, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 67, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
532, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,false,true', 66, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
531, 0, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,true,true', 66, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
530, 1, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,true,true', 65, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
529, 1, '-1', -0.2589174807071686, 9.838399887084961, 1.635035753250122, 'true,true,false,false,false,false,true,true,true', 65, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
528, 1, '-1', -0.33821845054626465, 10.994911193847656, 1.6422531604766846, 'true,true,false,false,false,false,true,true,true', 64, 50, 60, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
527, 1, '-1', -0.41331684589385986, 11.973320960998535, 1.6543431282043457, 'true,false,false,false,false,false,true,true,true', 64, 50, 50, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', 'removeAlarm'
526, 1, '-1', -0.4753202795982361, 12.690248489379883, 1.6591217517852783, 'true,false,false,false,false,false,true,true,true', 63, 50, 50, 0.888888888888645, 'true,false,true,true,false,false,true,false,false', '-1', '-1'
525, 1, '-1', -0.32066163420677185, 11.000932693481445, 1.6609138250350952, 'true,true,false,false,false,false,true,true,true', 63, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
524, 1, '-1', -0.18724879622459412, 9.487523078918457, 1.6573302745819092, 'true,true,false,false,false,false,true,true,true', 62, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
523, 1, '-1', 0.18803603947162628, 10.484369277954102, 1.1428776979446411, 'true,true,false,false,false,false,true,true,true', 62, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
522, 1, '-1', 0.27010443806648254, 10.657242774963379, 1.1026265621185303, 'true,true,false,false,false,false,true,true,true', 61, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
521, 1, '-1', 0.27010443806648254, 10.657242774963379, 1.1026265621185303, 'true,true,false,false,false,false,true,true,true', 61, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
520, 1, '-1', 0.27021825313568115, 10.657310485839844, 1.465525507926941, 'true,true,false,false,false,false,true,true,true', 60, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
519, 1, '-1', 0.2206640988588333, 10.937562942504883, 1.7685801982879639, 'true,true,false,false,false,false,true,true,true', 60, 50, 50, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
518, 1, '-1', -0.00042764563113451004, 11.93618392944336, 1.79239022731781, 'true,false,false,false,false,false,true,true,true', 59, 50, 40, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
517, 1, '-1', -0.1684790551662445, 12.665736198425293, 1.7999485731124878, 'true,false,false,false,false,false,true,true,true', 59, 50, 40, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
516, 1, '-1', 0.32177162170410156, 10.554100036621094, 1.7982970476150513, 'true,false,false,false,false,false,true,true,true', 58, 50, 40, 0.888888888888645, 'true,false,true,true,true,false,true,false,false', '-1', '-1'
515, 1, '-1', 0.32177162170410156, 10.554100036621094, 1.7982970476150513, 'true,false,false,false,false,false,true,true,true', 58, 50, 40, 0.888888888888645, 'true,true,true,true,true,false,true,false,false', '-1', '-1'
514, 1, '-1', 0.3593944311141968, 10.399141311645508, 1.3689887523651123, 'true,false,false,false,false,false,true,true,true', 57, 50, 40, 0.888888888888645, 'true,true,true,true,true,false,true,false,false', '-1', '-1'
513, 1, '-1', 0.35909780859947205, 10.399630546569824, 0.8918097615242004, 'true,false,false,false,true,false,true,true,true', 57, 50, 40, 0.888888888888645, 'true,true,true,true,true,false,true,false,false', '-1', '-1'
512, 1, '-1', 1.25751793384552, 11.369973182678223, 0.8171855807304382, 'true,false,false,false,true,false,true,true,true', 56, 50.53524906239194, 40, 0.888888888888645, 'true,true,true,true,true,false,true,false,false', '-1', '-1'
511, 1, '-1', 2.094362735748291, 12.255176544189453, 0.8098150491714478, 'true,false,false,false,true,false,true,true,true', 56, 50, 40, 0.888888888888645, 'true,true,true,true,true,false,true,false,false', '-1', '-1'
