# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.0000038580651562369894, -0.000004947200523020001, 0.00016481497732456774, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.0000031910287816572236, -0.000005179525942367036, 0.00016840038006193936, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.000003029636218343512, -0.000005243859959591646, 0.00016935773601289839, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -0.000002924212594734854, -0.000005293039521347964, 0.0001701276923995465, 'false,false,false,false,false,true,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left', '-1'
596, 0, '-1', -0.0001627549499971792, 0.0003948551311623305, 0.4623905420303345, 'false,false,false,false,false,true,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
595, 0, '-1', -0.0002535248640924692, 0.00038095886702649295, 0.9903560876846313, 'false,false,false,false,false,true,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,true,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,right,right', '-1'
594, 0, '-1', 0.00041431706631556153, 0.0012576802400872111, 0.8970982432365417, 'false,false,false,false,false,true,false,false,false', 97, 50, 50, 49.44444444444443, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
593, 0, '-1', 0.0008698740275576711, 0.000032723008189350367, 0.3924066722393036, 'false,false,false,false,false,true,false,false,false', 97, 50, 50, 48.88888888888886, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
592, 0, '-1', 0.0011495475191622972, -0.0006136769661679864, -0.11797540634870529, 'false,false,false,false,false,true,false,false,false', 96, 50, 50, 48.333333333333286, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
591, 0, '-1', 0.0013241033302620053, -0.0010562173556536436, -0.6484460830688477, 'false,false,false,false,false,true,false,false,false', 96, 50, 50, 47.777777777777715, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,front,front,front,front,front,front,front,front,front,front,front', '-1'
590, 1, '-1', 2.063575267791748, -1.7049102783203125, -0.6908145546913147, 'false,false,false,false,false,true,false,false,false', 95, 50, 50, 47.22222222222214, 'false,false,false,false,false,true,false,false,false', 'front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,left', '-1'
589, 1, '-1', 2.063575267791748, -1.7049102783203125, -0.6908145546913147, 'false,false,false,false,false,true,false,false,false', 95, 50, 50, 46.66666666666657, 'false,false,false,false,false,true,false,false,false', 'front,front,front', '-1'
588, 1, '-1', 4.336607933044434, -3.451275587081909, -0.6142290234565735, 'false,false,false,false,false,true,false,false,false', 94, 50, 50, 46.111111111111, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
587, 1, '-1', 5.676639080047607, -4.39771032333374, -0.6158013939857483, 'false,false,false,false,false,true,false,false,false', 94, 50, 50, 45.55555555555543, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
586, 1, '-1', 7.061739921569824, -5.376675605773926, -0.615646481513977, 'false,false,false,false,false,true,false,false,false', 93, 50, 50, 44.99999999999986, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
585, 1, '-1', 8.421849250793457, -6.3436055183410645, -0.6242808103561401, 'false,false,false,false,false,true,false,false,true', 93, 50, 50, 44.44444444444429, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
584, 1, '-1', 9.754109382629395, -7.301908016204834, -0.6236152648925781, 'false,false,false,false,false,true,false,false,true', 92, 50, 50, 43.888888888888715, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
583, 1, '-1', 11.102287292480469, -8.284720420837402, -0.6314528584480286, 'false,false,false,false,false,true,false,false,true', 92, 50, 50, 43.333333333333144, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
582, 1, '-1', 12.443212509155273, -9.274580955505371, -0.6426283717155457, 'false,false,false,false,false,true,false,false,true', 91, 50, 50, 42.77777777777757, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
581, 1, '-1', 13.555487632751465, -10.11837387084961, -0.6483747363090515, 'false,false,false,false,false,true,false,false,true', 91, 50, 50, 42.222222222222, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
580, 0, '-1', 14.364179611206055, -10.741800308227539, -0.6632512807846069, 'false,false,false,false,false,false,false,false,true', 90, 50, 40, 41.66666666666643, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
579, 0, '-1', 14.95088005065918, -11.203144073486328, -0.6762501001358032, 'false,true,false,false,false,false,false,false,true', 90, 50, 40, 41.11111111111086, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
578, 0, '-1', 14.098170280456543, -10.52015209197998, -0.674190104007721, 'false,true,false,false,false,false,false,false,true', 89, 50, 40, 40.55555555555529, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
577, 0, '-1', 14.098170280456543, -10.52015209197998, -0.674190104007721, 'false,true,false,false,false,false,false,false,true', 89, 50, 40, 39.999999999999716, 'false,false,false,false,false,true,false,false,false', '-1', '-1'
576, 0, '-1', 14.098170280456543, -10.52015209197998, -0.674190104007721, 'false,true,true,false,false,false,false,false,true', 88, 50, 40, 39.444444444444144, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right', '-1'
575, 0, '-1', 14.096631050109863, -10.520529747009277, -0.9859137535095215, 'false,true,true,false,false,false,false,false,true', 88, 50, 40, 38.77777777777746, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
574, 0, '-1', 14.095545768737793, -10.52253246307373, -1.4995496273040771, 'false,true,true,false,false,false,false,false,true', 87, 50, 40, 38.333333333333, 'false,false,false,false,false,true,false,false,false', 'right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right', '-1'
