# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.000002958938466690597, -0.00000527290785612422, 0.00016980704094748944, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000002804464202199597, -0.000005320746367942775, 0.00017055046919267625, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.000002631842562550446, -0.000005372580289986217, 0.00017134597874246538, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left', '-1'
597, 0, '-1', 3.711552380991634e-7, -0.000028461468900786713, 0.35678407549858093, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
596, 0, '-1', -0.0000013627681028083316, -0.000027836586014018394, 0.8740101456642151, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
595, 0, '-1', -0.0010026551317423582, 0.00030177272856235504, 1.444954752922058, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
594, 0, '-1', -0.001888472237624228, 0.000572607503272593, 1.9654792547225952, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
593, 0, '-1', -0.001831963425502181, 0.0005175982951186597, 2.473900318145752, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
592, 0, '-1', -0.0015327628934755921, 0.0017183205345645547, 3.002335786819458, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
591, 0, '-1', -0.001526068546809256, 0.002171883126720786, -2.746814489364624, 'false,false,false,false,false,true,false,false,false', 96, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
590, 1, '-1', -0.0010552562307566404, 0.002763377269729972, -2.218379497528076, 'false,false,false,false,false,true,false,false,false', 95, 50, 50, 50, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
589, 1, '-1', -0.0010552562307566404, 0.002763377269729972, -2.218379497528076, 'false,false,false,false,false,true,false,false,false', 95, 50, 50, 49.44444444444443, 'false,true,false,false,false,false,false,false,false', 'left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left', '-1'
588, 1, '-1', -0.0017463841941207647, 0.0028951491694897413, -1.5668164491653442, 'false,false,false,false,false,true,false,false,false', 94, 50, 50, 48.88888888888886, 'false,true,false,false,false,false,false,false,false', '-1', '-1'
587, 1, '-1', -0.0014886949211359024, 0.0030832416377961636, -1.068863868713379, 'false,false,false,false,false,true,false,false,false', 94, 50, 50, 48.333333333333286, 'false,true,false,false,false,false,false,false,false', '-1', '-1'
586, 1, '-1', 0.23019982874393463, -0.19467666745185852, -0.6931260228157043, 'false,false,false,false,false,true,false,false,false', 93, 50, 50, 47.777777777777715, 'false,true,false,false,false,false,false,false,false', '-1', '-1'
585, 1, '-1', 1.5238734483718872, -1.239802360534668, -0.6783496737480164, 'false,false,false,false,false,true,false,false,false', 93, 50, 50, 47.22222222222214, 'false,true,false,false,false,false,false,true,false', '-1', '-1'
584, 1, '-1', 2.82534122467041, -2.283877372741699, -0.6725234389305115, 'false,false,false,false,false,true,false,false,false', 92, 50, 50, 46.111111111111036, 'false,true,false,false,false,false,false,true,false', '-1', 'wrench'
583, 1, '-1', 4.131403923034668, -3.3220479488372803, -0.672084629535675, 'false,false,false,false,false,true,false,false,false', 92, 50, 50, 45.33333333333325, 'false,false,false,false,false,false,false,true,false', '-1', 'clickLeak1,wrench'
582, 1, '-1', 5.418689250946045, -4.340094566345215, -0.6698272824287415, 'false,false,false,false,false,true,false,false,false', 91, 50, 50, 45.222222222222136, 'false,false,false,false,false,false,false,false,false', '-1', 'clickLeak7'
581, 1, '-1', 6.751375198364258, -5.389859676361084, -0.6600095629692078, 'false,false,false,false,false,true,false,false,false', 91, 50, 50, 45.222222222222136, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
